arch_dims,descriptor_bytes_total,effective_bpw,header_bytes,label,mode,n_params,n_tensors,ok,out_bytes,out_bytes_actual,out_mb_actual,page_alignment_overhead_bytes,payload_bpw,payload_bytes_total,size_on_disk_bytes,size_on_disk_mb,src,src_mb,tail_block_bytes,throughput_mb_s,total_weights,wall_seconds
"(1536, 8960, 12, 2, 128, 28, 151936, 131072)",32736,5.003114,4096,1.5B,none,1777091551,341,True,1111837032,1111837032,1060.330421447754,0,5.003114,1111373888,1111414816,1059.9277648925781,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,1065.5601501464844,4096,1178.241790380362,1777091551,0.8999259999982314
"(1536, 8960, 12, 2, 128, 28, 151936, 131072)",32736,5.003114,4096,1.5B,q4_0,1777091551,341,True,1111837032,1111837032,1060.330421447754,0,5.003114,1111373888,1111414816,1059.9277648925781,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,1065.5601501464844,4096,1264.7920196052303,1777091551,0.8383437000011327
"(1536, 8960, 12, 2, 128, 28, 151936, 131072)",32736,5.003114,4096,1.5B,vsq,1777091551,341,True,1111837032,1111837032,1060.330421447754,0,5.003114,1111373888,1111414816,1059.9277648925781,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,1065.5601501464844,4096,1205.752765861491,1777091551,0.8793928999948548
"(1536, 8960, 12, 2, 128, 28, 151936, 131072)",32736,5.003114,4096,1.5B,vsq_ultra,1777091551,341,True,1111837032,1111837032,1060.330421447754,0,5.003114,1111373888,1111414816,1059.9277648925781,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,1065.5601501464844,4096,1278.6926348222692,1777091551,0.8292301000037696
"(1536, 8960, 12, 2, 128, 28, 151936, 131072)",32736,5.003114,4096,1.5B,hyper_vsq,1777091551,341,True,1111837032,1111837032,1060.330421447754,0,5.003114,1111373888,1111414816,1059.9277648925781,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,1065.5601501464844,4096,1273.3376550640799,1777091551,0.8327174000005471
"(1536, 8960, 12, 2, 128, 28, 151936, 131072)",32736,5.003114,4096,1.5B,hyper_vsq2,1777091551,341,True,1111837032,1111837032,1060.330421447754,0,5.003114,1111373888,1111414816,1059.9277648925781,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,1065.5601501464844,4096,1273.3274099503224,1777091551,0.8327240999933565
"(2560, 9216, 16, 4, 160, 33, 248320, 262144)",42528,16.003599,4096,4B,none,4326354399,443,True,8655201784,8655201784,8254.243644714355,0,16.003599,8654655040,8654705760,8253.770599365234,DeepSeek-V4-Pro-Qwen3.5-4B-MTP-BF16.gguf,8264.18032836914,4096,542.5074291526653,4326354399,15.214987300001667
"(2560, 9216, 16, 4, 160, 33, 248320, 262144)",42528,4.506927,4096,4B,q4_0,4326354399,443,True,2438014456,2438014456,2325.0717697143555,0,4.506927,2437320256,2437370976,2324.4580993652344,DeepSeek-V4-Pro-Qwen3.5-4B-MTP-BF16.gguf,8264.18032836914,4096,77.12565893139349,4326354399,30.146540100002312
"(2560, 9216, 16, 4, 160, 33, 248320, 262144)",42528,4.513471,4096,4B,vsq,4326354399,443,True,2441553400,2441553400,2328.4467697143555,0,4.513471,2440859200,2440909920,2327.8330993652344,DeepSeek-V4-Pro-Qwen3.5-4B-MTP-BF16.gguf,8264.18032836914,4096,126.05723999603677,4326354399,18.47134499999811
"(2560, 9216, 16, 4, 160, 33, 248320, 262144)",42528,4.40086,4096,4B,vsq_ultra,4326354399,443,True,2380518904,2380518904,2270.2397384643555,0,4.40086,2379959872,2380010592,2269.7549743652344,DeepSeek-V4-Pro-Qwen3.5-4B-MTP-BF16.gguf,8264.18032836914,4096,109.59394211977862,4326354399,20.71501120000903
"(2560, 9216, 16, 4, 160, 33, 248320, 262144)",42528,4.363096,4096,4B,hyper_vsq,4326354399,443,True,2360129016,2360129016,2250.7944259643555,0,4.363096,2359537216,2359587936,2250.2784118652344,DeepSeek-V4-Pro-Qwen3.5-4B-MTP-BF16.gguf,8264.18032836914,4096,114.12154230726854,4326354399,19.722783100005472
"(2560, 9216, 16, 4, 160, 33, 248320, 262144)",42528,2.34028,4096,4B,hyper_vsq2,4326354399,443,True,1266202104,1266202104,1207.5444259643555,0,2.34028,1265610304,1265661024,1207.0284118652344,DeepSeek-V4-Pro-Qwen3.5-4B-MTP-BF16.gguf,8264.18032836914,4096,63.15715186300789,4326354399,19.119678299990483
