label,mode,ok,out_bytes,out_bytes_actual,out_mb_actual,src,src_mb,throughput_mb_s,wall_seconds
1.5B,none,True,1111837032,1111837032,1060.330421447754,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,1065.5601501464844,1178.241790380362,0.8999259999982314
1.5B,q4_0,True,1111837032,1111837032,1060.330421447754,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,1065.5601501464844,1264.7920196052303,0.8383437000011327
1.5B,vsq,True,1111837032,1111837032,1060.330421447754,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,1065.5601501464844,1205.752765861491,0.8793928999948548
1.5B,vsq_ultra,True,1111837032,1111837032,1060.330421447754,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,1065.5601501464844,1278.6926348222692,0.8292301000037696
1.5B,hyper_vsq,True,1111837032,1111837032,1060.330421447754,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,1065.5601501464844,1273.3376550640799,0.8327174000005471
1.5B,hyper_vsq2,True,1111837032,1111837032,1060.330421447754,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,1065.5601501464844,1273.3274099503224,0.8327240999933565
4B,none,True,8655201784,8655201784,8254.243644714355,DeepSeek-V4-Pro-Qwen3.5-4B-MTP-BF16.gguf,8264.18032836914,542.5074291526653,15.214987300001667
4B,q4_0,True,2438014456,2438014456,2325.0717697143555,DeepSeek-V4-Pro-Qwen3.5-4B-MTP-BF16.gguf,8264.18032836914,77.12565893139349,30.146540100002312
4B,vsq,True,2441553400,2441553400,2328.4467697143555,DeepSeek-V4-Pro-Qwen3.5-4B-MTP-BF16.gguf,8264.18032836914,126.05723999603677,18.47134499999811
4B,vsq_ultra,True,2380518904,2380518904,2270.2397384643555,DeepSeek-V4-Pro-Qwen3.5-4B-MTP-BF16.gguf,8264.18032836914,109.59394211977862,20.71501120000903
4B,hyper_vsq,True,2360129016,2360129016,2250.7944259643555,DeepSeek-V4-Pro-Qwen3.5-4B-MTP-BF16.gguf,8264.18032836914,114.12154230726854,19.722783100005472
4B,hyper_vsq2,True,1266202104,1266202104,1207.5444259643555,DeepSeek-V4-Pro-Qwen3.5-4B-MTP-BF16.gguf,8264.18032836914,63.15715186300789,19.119678299990483
